side,input,coef_std,coef_raw,window,n
O,poss_pct2,0.6551280279474476,3.839600463153972,2021-2021,11208
O,gs_pct,-1.5496928333540723,-3.9913338223305197,2021-2021,11208
O,gs_pct2,1.5941386806585418,3.69860932416317,2021-2021,11208
O,age,10.272351034898314,2.446794208400732,2021-2021,11208
O,age2,-18.375469908373525,-0.07741714427716206,2021-2021,11208
O,age3,8.243140795904099,0.0007973348715451981,2021-2021,11208
D,poss_pct,-0.5794389160148407,-3.1858521015149233,2021-2021,11217
D,poss_pct2,1.2707208031313577,7.446304966903887,2021-2021,11217
D,gs_pct,-0.3884221404735355,-1.0000216505272355,2021-2021,11217
D,gs_pct2,-0.48468602856303655,-1.1243600268468033,2021-2021,11217
D,age,-7.127971558827316,-1.697600517805658,2021-2021,11217
D,age2,12.982056640503869,0.05468558151754447,2021-2021,11217
D,age3,-6.072301714446589,-0.0005872476806593465,2021-2021,11217
O,poss_pct,0.8434330223912988,4.640279090260542,2022-2022,11196
O,poss_pct2,0.6008788756462509,3.5184767129081633,2022-2022,11196
O,gs_pct,-1.6098387771580056,-4.147304219963158,2022-2022,11196
O,gs_pct2,1.660625007687141,3.856370066598929,2022-2022,11196
O,age,9.56750822535612,2.2819494714562993,2022-2022,11196
O,age2,-16.927705202817446,-0.0714246906346479,2022-2022,11196
O,age3,7.500520996773924,0.0007267096885458834,2022-2022,11196
D,poss_pct,-0.6355462008069233,-3.4944092383517456,2022-2022,11205
D,poss_pct2,1.3105194613763345,7.672572470938097,2022-2022,11205
D,gs_pct,-0.3351399547971164,-0.863066223329107,2022-2022,11205
D,gs_pct2,-0.5239589238732397,-1.216569806513359,2022-2022,11205
D,age,-7.806306468299039,-1.8616043108748848,2022-2022,11205
D,age2,14.267111506793674,0.06018799177890655,2022-2022,11205
D,age3,-6.687293918264728,-0.0006477880846346261,2022-2022,11205
O,poss_pct,0.8205336292688183,4.512138059808708,2023-2023,11211
O,poss_pct2,0.6443981173233343,3.7718911301311153,2023-2023,11211
O,gs_pct,-1.598553734349067,-4.119269666576005,2023-2023,11211
O,gs_pct2,1.6341547621372186,3.7940283191412973,2023-2023,11211
O,age,10.127191579500938,2.4137755270645913,2023-2023,11211
O,age2,-18.0566326349997,-0.0761459191612534,2023-2023,11211
O,age3,8.064100169372884,0.0007809732345204026,2023-2023,11211
D,poss_pct,-0.6292253445522789,-3.45802804090323,2023-2023,11220
D,poss_pct2,1.31296391454445,7.684038277111553,2023-2023,11220
D,gs_pct,-0.3537393169502457,-0.9112001139676427,2023-2023,11220
D,gs_pct2,-0.5097543889757543,-1.1833183048372065,2023-2023,11220
D,age,-7.928684752352565,-1.8895232186052704,2023-2023,11220
D,age2,14.474491054727194,0.061030133151561895,2023-2023,11220
D,age3,-6.778810820480888,-0.0006563772769101972,2023-2023,11220
O,poss_pct,0.8971901291579338,4.939625019492581,2024-2024,11206
O,poss_pct2,0.5451272613407455,3.1944607809483268,2024-2024,11206
O,gs_pct,-1.6783948953728718,-4.3211965052387695,2024-2024,11206
O,gs_pct2,1.7361180549041917,4.027232505605655,2024-2024,11206
O,age,10.223746974553919,2.4383723378770226,2024-2024,11206
O,age2,-18.251690755198588,-0.07705418068725597,2024-2024,11206
O,age3,8.16335275717696,0.0007918545721398696,2024-2024,11206
D,poss_pct,-0.6372368189679325,-3.5063095100155417,2024-2024,11215
D,poss_pct2,1.3129718195809252,7.692880908349511,2024-2024,11215
D,gs_pct,-0.3989107792426684,-1.0266554257158262,2024-2024,11215
D,gs_pct2,-0.45816222387995553,-1.062627196014333,2024-2024,11215
D,age,-8.643024861118072,-2.061093313019899,2024-2024,11215
D,age2,15.957732099860115,0.06735894924093169,2024-2024,11215
D,age3,-7.550484356904387,-0.00073227181322142,2024-2024,11215
O,poss_pct,0.8610362873365064,4.743020792865185,2025-2025,11184
O,poss_pct2,0.5817549710343365,3.4098908842085804,2025-2025,11184
O,gs_pct,-1.6422800828707762,-4.2289623979577105,2025-2025,11184
O,gs_pct2,1.7028754258641643,3.9524818464397042,2025-2025,11184
O,age,9.381133585054958,2.238239313846199,2025-2025,11184
O,age2,-16.600977847129602,-0.07012997061638407,2025-2025,11184
O,age3,7.355872987375417,0.0007142624195290279,2025-2025,11184
D,poss_pct,-0.6355681542789846,-3.498771911302086,2025-2025,11194
D,poss_pct2,1.319133080953364,7.73062484866491,2025-2025,11194
D,gs_pct,-0.38818694413869403,-0.9992095896531299,2025-2025,11194
D,gs_pct2,-0.47605982457212354,-1.104786127772528,2025-2025,11194
D,age,-8.346998952319451,-1.9912195600577312,2025-2025,11194
D,age2,15.411490981322299,0.0650937944059291,2025-2025,11194
D,age3,-7.2989258137835735,-0.000708590466737617,2025-2025,11194
O,poss_pct,0.8685197684555751,4.782586092970664,2026-2026,11179
O,poss_pct2,0.602053682039582,3.5282054929889086,2026-2026,11179
