target,off,dfn,mult,mult_d,lam,lam_d,n_train,season,n,sd_prior_o,sd_resid_o,sd_rating_o,share_o,corr_o,corr_pr_o,sd_prior_d,sd_resid_d,sd_rating_d,share_d,corr_d,corr_pr_d
ship,xpts_ft,x3def,0.5,0.0625,5726.1928673,715.7741084125,3,2019,414,1.4097070199117694,0.7498994358047202,1.713293210040156,0.19157669037591407,0.8898378531224244,0.16271883285425612,0.8205862755210838,1.6900422936893624,2.060517098558081,0.6727329515766036,0.5626614193267765,0.21111503012004879
ship,xpts_ft,x3def,0.5,0.0625,5726.1928673,715.7741084125,3,2024,425,1.5260526732855422,0.8125951420936955,1.8371686335221384,0.1956367319154797,0.8953067176657276,0.1559974677135912,0.7629057241998263,1.8396868650024627,2.261713447645138,0.6616261390248068,0.6376096368766171,0.3719313216083921
ship,xpts_ft,x3def,0.5,0.125,5726.1928673,1431.548216825,3,2014,390,1.4292895356984179,0.7733334827738307,1.8085281849928219,0.1828449901330124,0.9088099378316197,0.3000738414674476,0.855469437770192,1.4248306996468216,1.8615500759574046,0.5858373832688011,0.6675232947761209,0.26942091208847213
ship,xpts_ft,x3def,0.5,0.125,5726.1928673,1431.548216825,3,2019,414,1.4097070199117694,0.7503506507989475,1.7129716123898855,0.19187933092491893,0.8895029988621188,0.16130329889522138,0.8205862755210838,1.288060214385215,1.6891250093017474,0.5814986992059966,0.6403305116232046,0.2055871198644689
ship,xpts_ft,x3def,0.5,0.125,5726.1928673,1431.548216825,3,2024,425,1.5260526732855422,0.8143202046578931,1.8383818222164108,0.1962090282235274,0.8948030449470359,0.15659367393411883,0.7629057241998263,1.410871075459666,1.8466219626251783,0.5837389425023027,0.6880110766853307,0.35578459295901016
ship,xpts_ft,x3def,0.5,0.25,5726.1928673,2863.09643365,3,2014,390,1.4292895356984179,0.7725935717983128,1.8084290398472587,0.18251528295500707,0.9089769245326051,0.30074255822629514,0.855469437770192,1.038825671717974,1.5092606967851248,0.47375828927596314,0.7444557829148114,0.2466244101233336
ship,xpts_ft,x3def,0.5,0.25,5726.1928673,2863.09643365,3,2019,414,1.4097070199117694,0.751134852406451,1.7130878927906974,0.1922545096413462,0.8891514015241208,0.160353424759148,0.8205862755210838,0.926282694118113,1.3757173222976622,0.4533448524338713,0.739519818403506,0.20220768259878039
ship,xpts_ft,x3def,0.5,0.25,5726.1928673,2863.09643365,3,2024,425,1.5260526732855422,0.8163640463083589,1.839108247939965,0.19703943566940169,0.89415081608797,0.15628212022470334,0.7629057241998263,1.0147941081478675,1.475905321109238,0.4727579895354697,0.7581288272443877,0.33804635042100817
ship,xpts_ft,x3def,0.5,0.5,5726.1928673,5726.1928673,3,2014,390,1.4292895356984179,0.7714646249601701,1.8084578474408017,0.18197647668056502,0.9092746151128539,0.30209803712551886,0.855469437770192,0.7293314686631754,1.2486587815679913,0.3411633368731558,0.8289701474149421,0.2232652834058483
ship,xpts_ft,x3def,0.5,0.5,5726.1928673,5726.1928673,3,2019,414,1.4097070199117694,0.751839238980553,1.7132061814215482,0.19258865970098607,0.8888192366295002,0.15960128021618503,0.8205862755210838,0.6412292479607362,1.1520093072928244,0.3098237248570348,0.8379021651690692,0.19914313446830095
ship,xpts_ft,x3def,0.5,0.5,5726.1928673,5726.1928673,3,2024,425,1.5260526732855422,0.8183284525613604,1.8390869873416202,0.1979934211557619,0.893440992019335,0.15500426218545874,0.7629057241998263,0.6935950843117032,1.1918522159028122,0.3386625674674953,0.8370797989686188,0.31650500624378897
ship,xpts_ft,x3def,1.0,0.03125,11452.3857346,357.88705420625,3,2014,390,1.4292895356984179,0.5104812656969037,1.6504820735216563,0.09566167776749131,0.9549801575960074,0.29635983406343547,0.855469437770192,2.2858365445888023,2.695070441430503,0.7193663214018043,0.5733236540580386,0.3081302988961074
ship,xpts_ft,x3def,1.0,0.03125,11452.3857346,357.88705420625,3,2019,414,1.4097070199117694,0.4811183024295396,1.5806656722552874,0.09264536856800518,0.9506961959253921,0.1839305549712568,0.8205862755210838,2.0831602951972723,2.436370021162906,0.7310698688099597,0.5095333767856659,0.21622839615610945
ship,xpts_ft,x3def,1.0,0.03125,11452.3857346,357.88705420625,3,2024,425,1.5260526732855422,0.5323535773712351,1.701474116444538,0.09789255416481296,0.9510639915589169,0.1694854963928879,0.7629057241998263,2.2493413023729785,2.6663892610408473,0.7116453445380888,0.6060555241407738,0.38671675831051083
