system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,d0,d1,d2,d3,o4,d4,o5,d5
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,1998,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.28369,3.3981,-0.00493,-0.23356,1.01276,-2.81141,-0.11915,0.09669,0.99163,-0.57879,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,1999,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.22946,3.37998,0.00724,-0.2161,1.03089,-2.86018,-0.1084,0.09733,1.11014,-0.62802,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2000,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.2571,3.36672,-0.00328,-0.20658,1.06233,-2.83899,-0.10727,0.10832,1.04997,-0.71059,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2001,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.23755,3.3652,0.01008,-0.23066,1.06884,-2.81302,-0.10597,0.09911,1.08787,-0.71551,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2002,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.29365,3.27849,0.02507,-0.21695,1.06173,-2.84171,-0.1146,0.11804,0.96545,-0.69456,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2003,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.2161,3.26098,-0.00226,-0.21725,1.02748,-2.98027,-0.108,0.09619,1.16009,-0.61978,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2004,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.23892,3.45268,0.00859,-0.2051,1.03016,-2.9006,-0.10172,0.10354,1.07435,-0.64379,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2005,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.2898,3.26723,0.01849,-0.21467,1.10945,-2.78091,-0.11913,0.11164,0.98193,-0.83379,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2006,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.26451,3.34725,0.02147,-0.21863,1.05592,-2.88937,-0.09802,0.09808,1.02961,-0.70161,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2007,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.23519,3.43988,-0.00461,-0.20437,1.05583,-2.80527,-0.11634,0.11553,1.1049,-0.68959,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2008,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.16056,3.47862,0.01604,-0.20254,1.06054,-2.84879,-0.10074,0.10234,1.2274,-0.71084,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2009,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.22877,3.36063,0.00602,-0.20829,1.06521,-2.82912,-0.11879,0.09587,1.12296,-0.7229,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2010,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.21798,3.48673,0.01627,-0.2235,1.03062,-2.83936,-0.11819,0.10617,1.12452,-0.62342,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2011,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.1864,3.46201,0.01012,-0.21455,1.06642,-2.78942,-0.11047,0.10214,1.19819,-0.71866,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2012,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.19472,3.39054,0.00875,-0.20749,1.07953,-2.84689,-0.10927,0.10042,1.18102,-0.74693,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2013,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.19777,3.51892,0.00963,-0.22464,1.04926,-2.84615,-0.10176,0.0892,1.15437,-0.66269,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2014,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.28152,3.31995,0.00158,-0.218,1.10229,-2.75058,-0.09481,0.08874,1.0115,-0.77063,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2015,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.18255,3.46679,-0.01605,-0.19692,0.98487,-2.86592,-0.11403,0.097,1.19862,-0.50862,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2016,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.26795,3.36919,0.01529,-0.2127,1.0435,-2.7869,-0.10818,0.10555,1.03166,-0.6499,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2017,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.22468,3.44423,0.00924,-0.22381,1.10235,-2.90843,-0.10051,0.09313,1.10986,-0.80042,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2018,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.25226,3.47385,-0.00131,-0.20891,1.04004,-2.99049,-0.1145,0.103,1.06471,-0.65993,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2019,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.27059,3.39679,0.00091,-0.2021,1.02932,-2.82825,-0.11654,0.10795,1.03773,-0.62458,,
mspi1_lam05_linear+sat&age2&xsat3000,mspi1_lam05,3,2020,linear+sat&age2&xsat3000,linear+sat&age2&xsat3000,1.589,1.81189,0.23261,3.45824,0.00373,-0.21218,1.0619,-2.85838,-0.10125,0.09234,1.10228,-0.71409,,
