season,side,component,n_tg,att,p,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,k_loo,k_half,k_mom,k,shrink_mean
2006,off,fg2,2460,154970.0,0.4779247596308963,0.000166615153426539,0.00014986469607294867,0.00015924931593891756,0.0001483553476947604,-4.9152540315111066e-05,1472.4891889403907,1540.5969607324819,1653.7254365714248,1653.7254365714248,0.03724602825924955
2006,off,ft,2460,62773.0,0.7437592595542669,0.0007158873610178319,0.0007115638769272145,0.0006861501673923451,0.0006922644214749506,-0.00010314129713310865,253.41966019103089,264.40266341938485,262.06739236671496,262.06739236671496,0.09604823532870235
2006,def,fg3,2460,39296.0,0.35822984527687296,1.5008146828432941e-05,-2.118772264630026e-05,-1.2760999900866417e-05,9.365783338578739e-07,-0.0001784052183305441,14337.104504694971,1000000.0,229744.12467425506,229744.12467425506,7.922098095344517e-05
2006,def,fg2,2460,154970.0,0.4779247596308963,0.00035674475266863015,0.0003401328008409401,0.00033282823440196997,0.00033344871100980433,-4.670418432760163e-05,687.7158256679713,737.1340132097009,735.7623647464318,735.7623647464318,0.07994892631631323
2006,def,ft,2460,62773.0,0.7437592595542669,1.9381349064387292e-05,1.5273941988051077e-05,5.9732149382379415e-05,3.44027405676941e-05,-0.00011189904294676647,9360.541991245958,3037.2242358603366,5273.41510503251,5273.41510503251,0.005293093980655082
2007,off,fg3,2460,41654.0,0.3581408748259471,0.00013253935994129103,9.719404156403828e-05,6.335806037555687e-05,8.823948681340478e-05,-0.0001617530710037679,1633.1528183126818,3416.408708575083,2453.0631018198037,2453.0631018198037,0.007703449442538064
2007,off,fg2,2460,154358.0,0.48533279778178,0.0002158895023271294,0.00019804725320886931,0.00018398992041909418,0.0001960208790830478,-4.968884694750805e-05,1137.2645780470402,1334.4398606705863,1252.5374078382122,1252.5374078382122,0.04840560766332966
2007,off,ft,2460,61952.0,0.75025826446281,0.0007987423630772896,0.000792240140732275,0.0007349107976175871,0.0007714166677770416,-0.00010664896228604697,222.68995503650805,242.03196019987172,230.57824435139787,230.57824435139787,0.1062724268667278
2007,def,fg3,2460,41654.0,0.3581408748259471,2.9159327532745612e-05,-3.7990889507194716e-06,3.431394318641708e-05,9.42279103026396e-07,-0.00016348930495455638,7423.251753059102,6308.136259640405,229716.46991880157,229716.46991880157,8.296076610919527e-05
2007,def,fg2,2460,154358.0,0.48533279778178,0.00020278275358679083,0.00018445738841177913,0.00018610777998974675,0.0001827277305090659,-4.982121701247683e-05,1210.771031688178,1319.254271811608,1343.6574902169368,1343.6574902169368,0.04527372287038567
2007,def,ft,2460,61952.0,0.75025826446281,3.8503724689957864e-05,3.541258620528277e-05,7.888364282016969e-05,5.788340617699637e-05,-0.00011617944786933384,4619.60245019689,2254.8641842635075,3072.9342425968784,3072.9342425968784,0.008915718772078356
2008,off,fg3,2460,44503.0,0.36204300833651665,0.0002250418071382079,0.0001894154321203869,0.00015233774557931593,0.00018114792696146426,-0.00015746530185093446,968.7953125019801,1431.1584239570934,1203.5437088874328,1203.5437088874328,0.0164116812504666
2008,off,fg2,2460,155848.0,0.4844335506390842,0.0003632565326007186,0.0003455467116484181,0.00033510322818605366,0.0003423467123643643,-5.0519674703487675e-05,675.2308814106598,731.959611412575,716.472569554301,716.472569554301,0.08245813832188315
