component,side,n_tg,att,p,within,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,n_half,k_loo,k_plain,k_half,k_mom,k_source,k,at_floor,shrink_mean
fg3,off,2378,32589.0,0.35294117647058826,0.21164178763076355,0.00030721289792071,0.00027429880695004674,0.00026020327516343086,0.0002514851301793338,-0.0001995997124249384,29,688.9091866363864,771.5738540171857,813.3709596769435,841.5677995746388,mom,841.5677995746388,False,0.018347108365533663
rim,off,2378,56572.0,0.6179382026444177,0.22251320893305146,0.0007394801687813146,0.0007235283652794242,0.0006988961285656565,0.000721521382697607,-0.00015939656552752717,29,300.9049036430008,307.53902626487576,318.37808200442464,308.3944762678056,mom,308.3944762678056,False,0.07647294577015708
mid,off,2378,105950.0,0.38772062293534687,0.2314084007438036,0.00046547586519002463,0.0004487688063598486,0.00044383097223519837,0.00044134574739992016,-6.783940454874753e-05,29,497.1437147430491,515.6517063225804,521.3885808338176,524.3245281212954,mom,524.3245281212954,False,0.08073860822186893
fg2,off,2378,162522.0,0.46785665940611115,0.24494776004706412,0.00019209522894261753,0.00017423433998549912,0.00018466184486773618,0.0001744042754446244,-4.723644336549171e-05,29,1275.1371358641845,1405.852371395043,1326.4665487475643,1404.4825416269005,mom,1404.4825416269005,False,0.04702472888886206
ft,off,2378,58477.0,0.7483797048412196,0.1789738414115004,0.0008517774510980892,0.0008433603078814789,0.0007956433004375292,0.0008152056928281064,-0.00010314912365280856,29,210.11807859056614,212.21515850216227,224.9423093402302,219.54439595558455,mom,219.54439595558455,False,0.10929490209735822
tov,off,2378,225508.0,0.16285453287688242,0.1345631846636963,0.00017436724886402656,0.00017179502644695054,0.00016562668361041127,0.00017182145121091272,-1.9557310718288053e-05,29,771.7228180197424,783.2775339701045,812.448705307758,783.15707215462,mom,783.15707215462,False,0.10834160931275322
oreb,off,2378,113213.0,0.30688171853055746,0.2075358024445222,0.00036158381439566973,0.0003562880289581402,0.00030181503580236523,0.00035270042746660254,-5.884287748246992e-05,29,573.9631979694266,582.494458349891,687.6257900564667,588.4194809040142,mom,588.4194809040142,False,0.07627768605334352
rim_share,off,2378,195111.0,0.2899477733187775,0.2001541511517168,0.0009753901711640647,0.0009730069736807052,0.0009089413756121683,0.000978018549819201,-5.8346773402298835e-05,29,205.2041911728984,205.7068002242273,220.2057872180302,204.65271460210832,mom,204.65271460210832,False,0.28748009442162037
mid_share,off,2378,195111.0,0.5430242272347535,0.2399550434883814,0.002547659149196675,0.0025424558081499045,0.002445429234529497,0.002516873102542483,-6.94521886165688e-05,29,94.18647842433857,94.37923865547619,98.12389583808546,95.33855451273438,mom,95.33855451273438,False,0.4637298974247846
thr_share,off,2378,195111.0,0.16702799944646893,0.1351991483984599,0.00139244787350774,0.001390797437635751,0.0013348045320032299,0.001375700311861618,-3.096709064150565e-05,29,97.09458499001282,97.20980549711688,101.28760066131747,98.27659936742066,mom,98.27659936742066,False,0.45620734101816884
