player_name,team,adj_offense,adj_defense,adj_overall,var_offense,var_defense,var,Offense Score,Defense Score,Overall Score,Offense Score,Defense Score,Overall Score,Disagreement Among Metrics,,,OL,OS,DL,DS,VL,VS,
Cole Anthony,Phoenix Suns,-2.1,0.0,-2.1,0.26,0.49,0.75,20,41,24,25,49,29,38%,,,,,,,,,
Justin Edwards,Philadelphia 76ers,-0.7,-1.4,-2.1,0.63,0.53,1.16,33,15,24,42,18,29,58%,,,,,,,,,
Jalen Slawson,Indiana Pacers,-1.8,-0.3,-2.2,0.71,0.90,1.62,22,36,24,28,43,29,81%,,,,,,,,,
Jaden Hardy,Washington Wizards,-1.1,-1.1,-2.2,0.80,0.60,1.40,30,22,24,37,26,29,70%,,,,,,,,,
Chaney Johnson,Brooklyn Nets,-1.9,-0.3,-2.2,0.52,0.42,0.95,22,36,24,27,43,29,47%,,,,,,,,,
Colin Castleton,Orlando Magic,-1.9,-0.3,-2.2,1.03,0.24,1.27,22,37,24,27,44,28,64%,,,,,,,,,
Tyus Jones,Denver Nuggets,-0.9,-1.3,-2.2,0.71,0.40,1.11,31,18,24,39,21,28,56%,,,,,,,,,
Miles Kelly,Dallas Mavericks,-1.6,-0.6,-2.2,0.81,0.29,1.10,25,30,24,31,36,28,55%,,,,,,,,,
Seth Curry,Golden State Warriors,-1.0,-1.2,-2.2,0.42,0.18,0.60,30,19,24,38,23,28,30%,,,,,,,,,
Ochai Agbaji,Brooklyn Nets,-2.3,0.1,-2.2,0.32,0.50,0.82,18,44,24,22,52,28,41%,,,,,,,,,
Ousmane Dieng,Milwaukee Bucks,-1.6,-0.6,-2.2,0.58,0.70,1.29,24,31,24,30,37,28,64%,,,,,,,,,
Caleb Houstan,Atlanta Hawks,-2.1,-0.1,-2.2,1.04,0.43,1.47,20,39,24,25,47,28,73%,,,,,,,,,
Keaton Wallace,Atlanta Hawks,-2.3,0.1,-2.3,0.53,0.35,0.88,18,43,24,22,51,28,44%,,,,,,,,,
KJ Simpson,Denver Nuggets,-2.3,0.0,-2.3,0.60,0.21,0.81,18,42,23,23,50,28,40%,,,,,,,,,
Alijah Martin,Toronto Raptors,-1.8,-0.5,-2.3,0.71,0.41,1.12,23,33,23,28,40,28,56%,,,,,,,,,
Cody Martin,Indiana Pacers,-2.9,0.6,-2.3,0.74,0.57,1.31,12,53,23,16,60,28,66%,,,,,,,,,
Julian Strawther,Denver Nuggets,-1.8,-0.5,-2.3,1.30,0.35,1.65,23,33,23,28,40,28,83%,,,,,,,,,
Vit Krejci,Portland Trail Blazers,-1.9,-0.4,-2.3,1.27,0.24,1.51,21,35,23,27,42,28,75%,,,,,,,,,
Bryce McGowens,New Orleans Pelicans,-1.4,-0.9,-2.3,0.59,0.28,0.87,27,25,23,33,30,27,43%,,,,,,,,,
Tony Bradley,Atlanta Hawks,-1.8,-0.5,-2.3,0.96,0.33,1.29,23,33,23,28,39,27,64%,,,,,,,,,
Hunter Tyson,Brooklyn Nets,-1.8,-0.5,-2.3,0.60,0.79,1.39,23,32,23,28,39,27,70%,,,,,,,,,
Tristan Enaruna,Cleveland Cavaliers,-1.8,-0.6,-2.3,0.94,0.44,1.38,23,32,23,29,38,27,69%,,,,,,,,,
Tyrese Martin,Philadelphia 76ers,-1.9,-0.4,-2.3,0.46,0.80,1.26,22,34,23,27,41,27,63%,,,,,,,,,
Mac McClung,Chicago Bulls,-1.0,-1.3,-2.3,1.06,0.63,1.69,30,18,23,38,21,27,85%,,,,,,,,,
John Tonje,Boston Celtics,-1.8,-0.5,-2.3,0.83,0.40,1.23,23,32,23,29,38,27,61%,,,,,,,,,
Gabe Vincent,Atlanta Hawks,-1.8,-0.5,-2.4,0.60,0.27,0.87,23,32,23,28,39,27,43%,,,,,,,,,
Jordan McLaughlin,San Antonio Spurs,-2.3,-0.1,-2.4,0.50,0.84,1.34,19,40,23,23,48,27,67%,,,,,,,,,
Drew Peterson,Charlotte Hornets,-1.8,-0.6,-2.4,0.62,0.27,0.89,23,32,23,28,38,27,44%,,,,,,,,,
MarJon Beauchamp,Philadelphia 76ers,-2.1,-0.3,-2.4,0.61,0.48,1.09,20,37,22,24,44,27,55%,,,,,,,,,
Johnny Juzang,Minnesota Timberwolves,-1.5,-0.9,-2.5,1.44,0.44,1.88,26,24,22,32,29,26,94%,,,,,,,,,
Kennedy Chandler,Utah Jazz,-1.3,-1.1,-2.5,0.58,0.27,0.85,27,21,22,34,25,26,43%,,,,,,,,,
Emanuel Miller,San Antonio Spurs,-1.6,-0.9,-2.5,0.69,0.39,1.07,25,26,22,31,31,26,54%,,,,,,,,,
Noah Clowney,Brooklyn Nets,-1.9,-0.6,-2.5,1.60,0.25,1.85,22,31,22,27,37,26,92%,,,,,,,,,
Colby Jones,Detroit Pistons,-2.4,-0.1,-2.5,0.20,0.30,0.49,17,40,22,22,48,26,25%,,,,,,,,,
Patrick Baldwin Jr.,Sacramento Kings,-2.1,-0.4,-2.5,0.54,0.56,1.10,20,35,22,25,41,26,55%,,,,,,,,,
Luke Travers,Cleveland Cavaliers,-1.7,-0.8,-2.5,0.66,0.36,1.02,24,28,22,29,33,26,51%,,,,,,,,,
Johni Broome,Philadelphia 76ers,-1.7,-0.8,-2.5,0.87,0.45,1.32,24,28,22,29,33,26,66%,,,,,,,,,
Dario Saric,Detroit Pistons,-2.1,-0.4,-2.5,0.64,0.46,1.09,20,34,22,25,41,26,55%,,,,,,,,,
Kevin McCullar Jr.,New York Knicks,-2.2,-0.3,-2.5,0.50,0.30,0.81,19,36,21,24,43,26,40%,,,,,,,,,
Trentyn Flowers,Chicago Bulls,-1.8,-0.7,-2.5,0.61,0.51,1.12,23,29,21,28,34,25,56%,,,,,,,,,
Christian Koloko,Atlanta Hawks,-3.0,0.5,-2.5,1.06,0.47,1.52,11,51,21,14,57,25,76%,,,,,,,,,
Kobe Bufkin,Los Angeles Lakers,-1.9,-0.6,-2.5,0.43,0.18,0.61,22,31,21,27,37,25,30%,,,,,,,,,
Antonio Reeves,Charlotte Hornets,-1.8,-0.8,-2.6,0.91,0.29,1.20,23,28,21,28,33,25,60%,,,,,,,,,
Cormac Ryan,Milwaukee Bucks,-1.4,-1.2,-2.6,0.87,0.38,1.25,27,20,21,33,24,25,62%,,,,,,,,,
Kadary Richmond,Washington Wizards,-2.4,-0.3,-2.6,0.99,0.51,1.50,18,37,20,22,44,24,75%,,,,,,,,,
Ariel Hukporti,New York Knicks,-3.5,0.8,-2.6,0.54,0.43,0.97,7,57,20,9,63,24,49%,,,,,,,,,
Hayden Gray,Utah Jazz,-1.9,-0.7,-2.6,1.19,0.49,1.68,22,29,20,27,34,24,84%,,,,,,,,,
N'Faly Dante,Atlanta Hawks,-2.3,-0.4,-2.7,0.91,0.40,1.31,19,34,20,23,41,24,66%,,,,,,,,,
Jahmir Young,Miami Heat,-1.7,-1.0,-2.7,0.75,0.51,1.26,24,23,20,29,28,24,63%,,,,,,,,,
Duop Reath,Atlanta Hawks,-2.0,-0.7,-2.7,0.45,0.50,0.95,21,28,20,26,33,24,48%,,,,,,,,,
Jayson Kent,Portland Trail Blazers,-2.2,-0.5,-2.7,0.86,0.50,1.37,19,33,20,23,39,24,68%,,,,,,,,,
Javonte Cooke,Portland Trail Blazers,-2.0,-0.7,-2.7,1.02,0.40,1.42,21,29,20,26,35,24,71%,,,,,,,,,
Maxime Raynaud,Sacramento Kings,-1.1,-1.7,-2.7,0.71,0.71,1.43,30,11,20,37,13,23,71%,,,,,,,,,
Chris Livingston,Cleveland Cavaliers,-2.5,-0.2,-2.7,0.35,0.25,0.60,16,39,20,20,46,23,30%,,,,,,,,,
DeJon Jarreau,Memphis Grizzlies,-2.0,-0.8,-2.7,0.56,0.49,1.05,21,28,20,27,33,23,52%,,,,,,,,,
Jeremy Sochan,New York Knicks,-2.6,-0.1,-2.7,0.76,0.49,1.25,15,39,20,19,47,23,62%,,,,,,,,,
Jacob Toppin,Atlanta Hawks,-2.1,-0.7,-2.7,0.56,0.45,1.01,20,29,20,25,35,23,50%,,,,,,,,,
Dillon Jones,New York Knicks,-2.7,-0.1,-2.8,0.54,0.31,0.85,15,40,19,18,48,23,42%,,,,,,,,,
Gary Trent Jr.,Milwaukee Bucks,-0.9,-1.8,-2.8,0.37,0.30,0.67,31,8,19,39,9,23,34%,,,,,,,,,
Grant Nelson,Brooklyn Nets,-2.5,-0.2,-2.8,1.18,0.74,1.92,16,38,19,20,45,23,96%,,,,,,,,,
Taurean Prince,Milwaukee Bucks,-1.3,-1.4,-2.8,0.73,0.30,1.03,27,16,19,34,19,23,52%,,,,,,,,,
Larry Nance Jr.,Cleveland Cavaliers,-2.6,-0.2,-2.8,0.83,0.53,1.36,16,38,19,19,45,23,68%,,,,,,,,,
Nolan Traore,Brooklyn Nets,-1.7,-1.1,-2.8,0.47,0.27,0.74,24,21,19,30,25,23,37%,,,,,,,,,
Jamison Battle,Toronto Raptors,-2.2,-0.6,-2.8,0.75,0.36,1.11,19,31,19,24,37,23,55%,,,,,,,,,
Chris Paul,Toronto Raptors,-1.4,-1.4,-2.8,0.90,0.54,1.44,27,15,19,34,18,23,72%,,,,,,,,,
Russell Westbrook,Sacramento Kings,-1.1,-1.7,-2.8,0.64,0.34,0.98,30,10,19,37,12,23,49%,,,,,,,,,
Payton Sandfort,Oklahoma City Thunder,-1.9,-0.9,-2.8,0.98,0.45,1.43,22,24,19,28,29,23,71%,,,,,,,,,
Max Shulga,Boston Celtics,-2.4,-0.5,-2.8,0.94,0.46,1.40,17,33,19,22,40,23,70%,,,,,,,,,
Jarace Walker,Indiana Pacers,-2.0,-0.8,-2.8,0.80,0.36,1.16,21,27,19,26,32,22,58%,,,,,,,,,
Bruce Brown,Denver Nuggets,-2.2,-0.6,-2.8,0.94,0.40,1.34,19,31,19,23,37,22,67%,,,,,,,,,
Malachi Smith,Brooklyn Nets,-2.0,-0.9,-2.8,0.71,0.42,1.13,21,26,19,26,31,22,56%,,,,,,,,,
E.J. Liddell,Brooklyn Nets,-1.5,-1.3,-2.8,0.42,0.66,1.08,25,18,19,32,21,22,54%,,,,,,,,,
Andersson Garcia,Utah Jazz,-2.5,-0.4,-2.8,0.88,0.45,1.33,16,35,19,20,42,22,67%,,,,,,,,,
Lawson Lovering,Memphis Grizzlies,-2.7,-0.2,-2.8,1.37,0.55,1.92,14,39,19,18,46,22,96%,,,,,,,,,
Andre Jackson Jr.,Milwaukee Bucks,-2.7,-0.1,-2.9,0.32,0.64,0.95,14,39,19,17,47,22,48%,,,,,,,,,
Charles Bassey,Golden State Warriors,-1.5,-1.3,-2.9,0.74,0.78,1.52,25,17,19,32,20,22,76%,,,,,,,,,
TyTy Washington Jr.,Los Angeles Clippers,-2.2,-0.6,-2.9,0.42,0.54,0.96,19,30,18,23,36,22,48%,,,,,,,,,
Olivier Sarr,Cleveland Cavaliers,-1.9,-1.0,-2.9,0.97,0.59,1.56,22,24,18,27,29,22,78%,,,,,,,,,
Kyle Lowry,Philadelphia 76ers,-2.3,-0.6,-2.9,1.45,0.68,2.13,18,31,18,22,38,22,106%,,,,,,,,,
Tyler Burton,Memphis Grizzlies,-2.1,-0.8,-2.9,0.51,0.41,0.91,19,27,18,24,33,21,46%,,,,,,,,,
Malevy Leons,Golden State Warriors,-1.8,-1.1,-2.9,0.63,0.69,1.32,22,21,18,28,26,21,66%,,,,,,,,,
Norchad Omier,Los Angeles Clippers,-1.9,-1.0,-3.0,0.92,0.49,1.41,22,23,18,27,27,21,70%,,,,,,,,,
Julian Reese,Washington Wizards,-1.8,-1.2,-3.0,0.82,0.71,1.53,22,20,17,28,24,21,77%,,,,,,,,,
David Roddy,Denver Nuggets,-2.5,-0.5,-3.0,0.76,0.41,1.17,16,33,17,20,40,21,59%,,,,,,,,,
Will Riley,Washington Wizards,-1.2,-1.8,-3.0,1.07,0.42,1.49,29,8,17,36,10,21,74%,,,,,,,,,
CJ Huntley,Phoenix Suns,-2.4,-0.6,-3.0,1.18,0.51,1.70,17,30,17,22,36,21,85%,,,,,,,,,
Dalano Banton,Boston Celtics,-2.9,-0.2,-3.0,0.75,0.42,1.17,13,39,17,16,47,21,59%,,,,,,,,,
Caleb Martin,Dallas Mavericks,-3.7,0.7,-3.0,0.37,0.17,0.54,5,54,17,6,60,21,27%,,,,,,,,,
Tidjane Salaun,Charlotte Hornets,-3.2,0.2,-3.0,1.20,0.18,1.38,9,45,17,12,53,21,69%,,,,,,,,,
Nate Williams,Golden State Warriors,-1.6,-1.4,-3.0,0.49,0.32,0.81,25,15,17,31,18,20,40%,,,,,,,,,
DaQuan Jeffries,Sacramento Kings,-1.9,-1.1,-3.0,0.63,0.30,0.93,22,21,17,27,25,20,46%,,,,,,,,,
Amir Coffey,Phoenix Suns,-2.7,-0.3,-3.0,1.14,0.57,1.71,14,37,17,17,44,20,85%,,,,,,,,,
Trey Alexander,New Orleans Pelicans,-2.3,-0.7,-3.0,0.67,0.33,1.00,18,29,17,22,35,20,50%,,,,,,,,,
Alondes Williams,Washington Wizards,-2.2,-0.8,-3.0,0.68,0.53,1.21,19,27,17,23,32,20,60%,,,,,,,,,
Jahmyl Telfort,Los Angeles Clippers,-2.4,-0.6,-3.1,0.93,0.37,1.31,17,30,17,21,36,20,65%,,,,,,,,,
Isaiah Stevens,Sacramento Kings,-2.2,-0.9,-3.1,0.97,0.50,1.47,19,25,17,24,30,20,73%,,,,,,,,,
Isaac Jones,Detroit Pistons,-2.4,-0.7,-3.1,0.45,0.63,1.08,17,29,17,22,35,20,54%,,,,,,,,,
Jaden Ivey,Chicago Bulls,-2.3,-0.7,-3.1,1.54,0.41,1.95,18,28,17,22,34,20,98%,,,,,,,,,
Isaiah Crawford,Houston Rockets,-2.4,-0.7,-3.1,0.65,0.58,1.22,17,30,17,21,35,20,61%,,,,,,,,,
Walter Clayton Jr.,Memphis Grizzlies,-1.4,-1.7,-3.1,0.77,0.43,1.20,27,11,17,33,13,20,60%,,,,,,,,,
Xavier Tillman,Charlotte Hornets,-3.4,0.3,-3.1,0.50,0.73,1.22,8,47,17,10,55,20,61%,,,,,,,,,
Drew Timme,Los Angeles Lakers,-2.2,-0.9,-3.1,0.25,0.29,0.54,19,25,17,24,30,20,27%,,,,,,,,,
Josh Oduro,New Orleans Pelicans,-2.1,-1.0,-3.1,1.43,0.52,1.95,20,24,16,24,28,20,97%,,,,,,,,,
Trendon Watford,Philadelphia 76ers,-2.5,-0.6,-3.1,0.40,0.51,0.91,16,30,16,20,36,19,46%,,,,,,,,,
Pete Nance,Milwaukee Bucks,-1.9,-1.3,-3.2,0.56,0.60,1.16,22,19,16,27,22,19,58%,,,,,,,,,
Rocco Zikarsky,Minnesota Timberwolves,-2.6,-0.6,-3.2,1.03,0.55,1.59,15,31,16,19,37,19,79%,,,,,,,,,
Taelon Peter,Indiana Pacers,-2.7,-0.5,-3.2,0.65,0.19,0.83,15,33,16,18,39,19,42%,,,,,,,,,
Wendell Moore Jr.,Detroit Pistons,-3.1,0.0,-3.2,0.62,0.33,0.96,10,41,16,12,49,19,48%,,,,,,,,,
Zeke Nnaji,Denver Nuggets,-3.5,0.3,-3.2,1.04,0.79,1.83,6,48,16,8,56,19,91%,,,,,,,,,
Adou Thiero,Los Angeles Lakers,-2.5,-0.7,-3.2,0.71,0.46,1.17,16,29,16,20,35,19,59%,,,,,,,,,
Joe Ingles,Minnesota Timberwolves,-1.9,-1.3,-3.2,1.80,0.59,2.39,22,18,16,27,21,19,119%,,,,,,,,,
Jonathan Mogbo,Toronto Raptors,-3.3,0.1,-3.2,0.94,0.62,1.56,8,44,16,10,52,19,78%,,,,,,,,,
Eric Gordon,Memphis Grizzlies,-1.9,-1.3,-3.2,0.52,0.57,1.09,22,17,16,27,21,19,55%,,,,,,,,,
Harrison Ingram,San Antonio Spurs,-2.7,-0.5,-3.2,0.85,0.55,1.40,14,32,16,18,38,19,70%,,,,,,,,,
Vladislav Goldin,Miami Heat,-2.4,-0.8,-3.2,1.09,0.39,1.49,17,27,16,21,32,19,74%,,,,,,,,,
Darius Brown,Cleveland Cavaliers,-2.3,-0.9,-3.2,0.95,0.54,1.49,18,25,15,22,30,18,75%,,,,,,,,,
Yang Hansen,Portland Trail Blazers,-2.8,-0.5,-3.2,0.43,0.32,0.75,14,33,15,17,39,18,37%,,,,,,,,,
Pat Spencer,Golden State Warriors,-1.7,-1.5,-3.2,0.92,0.46,1.38,24,14,15,29,16,18,69%,,,,,,,,,
Rob Dillingham,Chicago Bulls,-3.0,-0.2,-3.2,0.96,0.51,1.47,11,37,15,14,45,18,73%,,,,,,,,,
Dariq Whitehead,Memphis Grizzlies,-2.0,-1.3,-3.2,0.27,0.22,0.50,21,18,15,27,22,18,25%,,,,,,,,,
Killian Hayes,Sacramento Kings,-3.2,-0.1,-3.3,0.80,0.22,1.02,10,40,15,12,48,18,51%,,,,,,,,,
Jalen Wilson,Brooklyn Nets,-2.1,-1.2,-3.3,0.47,0.60,1.07,20,21,15,25,25,18,54%,,,,,,,,,
Lucas Williamson,Memphis Grizzlies,-1.8,-1.5,-3.3,0.66,0.45,1.10,23,14,15,28,17,18,55%,,,,,,,,,
Drew Eubanks,Sacramento Kings,-2.5,-0.8,-3.3,0.54,0.61,1.15,16,27,15,20,32,18,58%,,,,,,,,,
Trevon Scott,Brooklyn Nets,-2.2,-1.1,-3.3,0.72,0.74,1.46,19,21,15,24,26,18,73%,,,,,,,,,
Enrique Freeman,Minnesota Timberwolves,-2.5,-0.8,-3.3,0.83,0.39,1.22,16,27,15,20,32,18,61%,,,,,,,,,
Bez Mbeng,Utah Jazz,-2.5,-0.9,-3.3,0.64,0.68,1.32,17,26,15,21,31,18,66%,,,,,,,,,
Zyon Pullin,Minnesota Timberwolves,-2.3,-1.1,-3.4,0.70,0.31,1.01,18,21,14,23,25,17,51%,,,,,,,,,
Alex Morales,Orlando Magic,-2.7,-0.6,-3.4,0.97,0.66,1.63,14,30,14,17,36,17,81%,,,,,,,,,
Sharife Cooper,Washington Wizards,-1.8,-1.6,-3.4,0.78,0.44,1.22,23,13,14,28,15,17,61%,,,,,,,,,
Chris Manon,Los Angeles Lakers,-2.5,-0.9,-3.4,0.91,0.83,1.73,16,26,14,20,31,17,87%,,,,,,,,,
AJ Johnson,Dallas Mavericks,-2.9,-0.5,-3.4,0.56,0.58,1.14,12,32,14,15,39,17,57%,,,,,,,,,
Mason Plumlee,San Antonio Spurs,-2.3,-1.1,-3.4,0.94,0.91,1.85,18,21,14,23,25,17,92%,,,,,,,,,
Dalton Knecht,Los Angeles Lakers,-1.8,-1.6,-3.4,1.12,0.53,1.65,23,12,14,28,15,17,83%,,,,,,,,,
Tyson Etienne,Brooklyn Nets,-1.7,-1.8,-3.5,0.86,0.35,1.21,24,8,14,30,10,16,60%,,,,,,,,,
Stanley Umude,San Antonio Spurs,-2.8,-0.7,-3.5,0.46,0.37,0.83,13,30,14,16,36,16,41%,,,,,,,,,
Adama Bal,Memphis Grizzlies,-2.4,-1.1,-3.5,0.54,0.39,0.93,17,22,14,21,26,16,46%,,,,,,,,,
Omer Yurtseven,Golden State Warriors,-2.6,-0.9,-3.5,0.56,0.54,1.10,15,25,13,19,30,16,55%,,,,,,,,,
Kyle Kuzma,Milwaukee Bucks,-2.4,-1.1,-3.5,0.69,0.41,1.11,17,22,13,21,26,16,55%,,,,,,,,,
Blake Wesley,Portland Trail Blazers,-3.2,-0.4,-3.5,0.54,0.22,0.75,10,35,13,12,42,16,38%,,,,,,,,,
Hunter Sallis,Philadelphia 76ers,-2.8,-0.7,-3.6,0.92,0.38,1.30,13,28,13,16,34,15,65%,,,,,,,,,
Kam Jones,Indiana Pacers,-2.4,-1.3,-3.6,0.26,0.33,0.59,17,19,12,22,22,15,30%,,,,,,,,,
Mo Bamba,Utah Jazz,-2.9,-0.7,-3.6,0.67,0.60,1.26,12,29,12,15,35,15,63%,,,,,,,,,
Jeremiah Robinson-Earl,Dallas Mavericks,-1.8,-1.9,-3.6,0.64,0.58,1.22,23,7,12,29,8,14,61%,,,,,,,,,
Amari Williams,Boston Celtics,-3.5,-0.1,-3.7,0.67,0.40,1.07,6,39,12,8,47,14,54%,,,,,,,,,
Kobe Brown,Indiana Pacers,-1.9,-1.8,-3.7,0.87,0.72,1.59,22,9,12,28,10,14,79%,,,,,,,,,
Doug McDermott,Sacramento Kings,-1.8,-1.9,-3.7,0.37,0.68,1.05,23,7,12,29,8,14,53%,,,,,,,,,
Malaki Branham,Charlotte Hornets,-3.0,-0.7,-3.7,0.91,0.76,1.66,12,28,12,15,34,14,83%,,,,,,,,,
Gary Harris,Milwaukee Bucks,-3.7,-0.1,-3.7,0.77,0.30,1.07,5,41,11,6,49,14,53%,,,,,,,,,
Leaky Black,Washington Wizards,-2.5,-1.2,-3.8,0.41,1.06,1.48,16,19,11,20,23,13,74%,,,,,,,,,
Jericho Sims,Milwaukee Bucks,-2.1,-1.7,-3.8,0.87,0.81,1.68,20,11,11,25,13,13,84%,,,,,,,,,
Toby Okani,Memphis Grizzlies,-2.3,-1.4,-3.8,0.83,0.45,1.28,18,15,11,22,18,13,64%,,,,,,,,,
DeAndre Jordan,New Orleans Pelicans,-3.1,-0.7,-3.8,0.62,1.02,1.64,10,29,11,13,35,13,82%,,,,,,,,,
Tre Mann,Charlotte Hornets,-2.8,-1.0,-3.8,0.96,0.29,1.25,13,23,11,17,28,13,63%,,,,,,,,,
Hunter Dickinson,New Orleans Pelicans,-2.6,-1.2,-3.8,1.05,0.50,1.56,15,20,11,19,24,13,78%,,,,,,,,,
Patrick Williams,Chicago Bulls,-3.6,-0.2,-3.8,0.68,0.31,0.99,6,38,11,7,45,13,50%,,,,,,,,,
Isaiah Livers,Phoenix Suns,-3.0,-0.9,-3.8,0.37,0.50,0.88,12,26,11,14,31,13,44%,,,,,,,,,
Brooks Barnhizer,Oklahoma City Thunder,-3.2,-0.6,-3.8,0.66,0.43,1.09,9,30,11,12,36,13,55%,,,,,,,,,
Maxi Kleber,Los Angeles Lakers,-3.3,-0.5,-3.9,0.66,0.57,1.23,8,32,10,10,39,12,62%,,,,,,,,,
Keshon Gilbert,Atlanta Hawks,-3.2,-0.7,-3.9,1.07,0.78,1.84,10,28,10,12,34,12,92%,,,,,,,,,
Bronny James,Los Angeles Lakers,-3.1,-0.9,-4.0,0.70,0.36,1.06,10,26,9,13,31,11,53%,,,,,,,,,
Isaiah Collier,Utah Jazz,-1.9,-2.2,-4.1,0.98,0.51,1.48,22,1,9,28,1,11,74%,,,,,,,,,
Skal Labissiere,Washington Wizards,-3.1,-1.1,-4.2,0.76,0.49,1.26,11,22,8,13,26,10,63%,,,,,,,,,
Ben Saraf,Brooklyn Nets,-3.6,-0.7,-4.3,0.34,0.48,0.82,6,29,7,7,35,8,41%,,,,,,,,,
Bub Carrington,Washington Wizards,-2.5,-1.8,-4.3,1.93,0.70,2.63,16,9,7,20,11,8,131%,,,,,,,,,
Jeff Green,Houston Rockets,-2.3,-2.0,-4.3,1.06,0.31,1.37,18,6,7,22,7,8,68%,,,,,,,,,
Markelle Fultz,Toronto Raptors,-4.0,-0.3,-4.3,0.60,0.55,1.16,2,36,6,2,43,8,58%,,,,,,,,,
Cody Williams,Utah Jazz,-2.9,-1.5,-4.4,0.86,0.35,1.21,12,15,6,15,18,7,60%,,,,,,,,,
Nick Smith Jr.,Los Angeles Lakers,-3.0,-1.4,-4.4,1.70,0.45,2.15,12,15,6,15,18,7,107%,,,,,,,,,
Drake Powell,Brooklyn Nets,-4.0,-0.4,-4.4,1.31,0.42,1.73,1,35,6,2,42,7,86%,,,,,,,,,
Jordan Hawkins,New Orleans Pelicans,-2.7,-1.7,-4.4,0.30,0.18,0.49,14,10,6,17,12,7,24%,,,,,,,,,
Garrett Temple,Toronto Raptors,-4.2,-0.4,-4.6,0.44,0.64,1.08,0,35,4,-1,41,5,54%,,,,,,,,,
Mouhamadou Gueye,Chicago Bulls,-3.6,-1.1,-4.6,0.97,0.74,1.71,6,22,4,8,26,5,86%,,,,,,,,,
Anthony Gill,Washington Wizards,-2.8,-1.8,-4.7,0.55,0.73,1.28,13,8,4,16,10,5,64%,,,,,,,,,
Jahmai Mashack,Memphis Grizzlies,-3.5,-1.2,-4.7,0.51,1.00,1.52,7,19,3,9,23,4,76%,,,,,,,,,
Trey Jemison III,New York Knicks,-4.1,-0.7,-4.8,0.75,0.19,0.93,1,28,2,1,34,3,47%,,,,,,,,,
Nigel Hayes-Davis,Milwaukee Bucks,-3.8,-1.1,-4.9,0.64,0.54,1.18,4,22,2,5,26,3,59%,,,,,,,,,
Thanasis Antetokounmpo,Milwaukee Bucks,-4.4,-0.5,-4.9,0.48,0.73,1.21,-2,32,2,-2,39,2,60%,,,,,,,,,
James Wiseman,Indiana Pacers,-3.6,-1.3,-4.9,0.40,0.53,0.93,5,18,2,7,22,2,46%,,,,,,,,,
Taj Gibson,Memphis Grizzlies,-4.1,-0.8,-5.0,0.83,0.62,1.45,1,26,1,1,31,2,72%,,,,,,,,,
Nick Richards,Chicago Bulls,-2.5,-2.7,-5.2,0.37,1.27,1.64,16,-8,-1,20,-10,-1,82%,,,,,,,,,
Rayan Rupert,Memphis Grizzlies,-4.2,-1.1,-5.3,0.82,0.55,1.37,0,21,-2,-1,25,-2,68%,,,,,,,,,
Bismack Biyombo,San Antonio Spurs,-5.2,-1.8,-7.0,0.86,0.61,1.48,-10,9,-15,-12,11,-18,74%,,,,,,,,,
